Question,Cluster
How does photosynthesis occur in plants?,0
Can you explain the process of photosynthesis step by step?,0
What are the main stages of cellular respiration?,0
How do animals adapt to desert environments?,0
Can someone explain the theory of evolution?,1
What is the difference between mitosis and meiosis?,0
Why do we need to conserve biodiversity?,2
How do tectonic plates cause earthquakes?,0
What is the greenhouse effect and how does it impact climate change?,2
Can you explain the process of the water cycle in simple terms?,0
What are the major causes of global warming?,2
How does the circulatory system work in humans?,0
Explain the structure and function of the human heart.,0
How do vaccines help the immune system?,0
What is the role of enzymes in digestion?,0
How do neurons transmit signals in the brain?,0
What is the theory of relativity in simple terms?,2
Can you explain quantum mechanics?,1
What is the role of DNA in heredity?,0
How are traits passed down from parents to offspring?,0
Explain the concept of natural selection with examples.,1
How do black holes form in space?,2
What is dark matter and why is it important?,2
What is the capital of Australia?,2
What is the difference between a democracy and a dictatorship?,0
Explain the concept of supply and demand in economics.,1
What is inflation and how does it affect the economy?,2
How do governments control inflation?,2
What are the causes of the Great Depression?,2
Can someone explain the Cold War and its significance?,2
What are the effects of deforestation on ecosystems?,2
How does recycling help the environment?,2
What are renewable sources of energy and why are they important?,2
How does solar power generate electricity?,0
Can you explain the process of wind energy conversion?,0
What are the challenges of transitioning to electric vehicles?,2
Explain how fossil fuels contribute to climate change.,2
What are the major differences between the Arctic and the Antarctic?,2
What is the difference between a virus and a bacteria?,0
How do antibiotics work to fight infections?,0
What is the role of proteins in the human body?,0
What is the chemical structure of water?,0
How does osmosis work in cells?,0
Can you explain the structure of the atom?,0
How do chemical reactions occur at the molecular level?,0
What is the difference between an acid and a base in chemistry?,0
What are the major branches of physics?,2
What is the speed of light and why is it constant?,2
Explain how electricity is generated in a power plant.,0
How does a nuclear reactor produce energy?,0
What are the ethical concerns surrounding genetic modification?,2
How does artificial intelligence learn from data?,1
What is machine learning and how is it different from traditional programming?,1
Explain the importance of cybersecurity in modern times.,1
What are the primary types of cyberattacks?,1
How does encryption keep data safe?,1
What is blockchain technology and how does it work?,1
Can someone explain the concept of cloud computing?,1
What is the importance of data privacy in the digital age?,1
How does the internet work at a fundamental level?,1
What is the role of software engineering in developing applications?,1
Explain the concept of object-oriented programming with an example.,1
What is the difference between frontend and backend development?,1
How does a compiler translate code into machine language?,1
What is the purpose of algorithms in computer science?,1
How do search engines rank websites?,1
Can you explain the difference between HTTP and HTTPS?,0
"What are the basics of HTML, CSS, and JavaScript in web development?",1
How does a database store information and retrieve it efficiently?,1
What are the key principles of agile software development?,1
Explain the concept of version control in software projects.,1
What are the differences between C++ and Python programming languages?,1
How does machine learning use neural networks to recognize patterns?,1
Explain the working of convolutional neural networks in image processing.,1
What is natural language processing and how does it enable chatbots?,1
How does reinforcement learning work in AI training?,1
Can someone explain deep learning in simple terms?,1
What is the role of big data in modern analytics?,1
How does quantum computing differ from classical computing?,1
What are the ethical concerns related to AI and automation?,1
How can AI be used to solve climate change problems?,1
What is the role of space exploration in scientific advancement?,2
Explain how satellites orbit the Earth and their importance.,2
What are the main challenges of manned space missions to Mars?,2
How does the International Space Station operate?,2
What is the history of human space exploration?,2
Can you explain the scientific method and its importance in experiments?,1
How does peer review ensure the quality of scientific research?,2
What is the role of statistics in scientific studies?,2
What is the significance of the Large Hadron Collider in physics?,2
How do chemical bonds form between atoms?,0
What are the differences between ionic and covalent bonds?,0
How do catalysts speed up chemical reactions?,0
Explain the process of electrolysis in water.,0
What is the difference between heat and temperature?,0
How do thermometers measure temperature accurately?,1
What are the different types of waves in physics?,0
How does sound travel through different mediums?,0
What is the electromagnetic spectrum and why is it important?,2
Explain the concept of resonance in physics.,0
What is the Doppler effect and how does it relate to sound and light?,0
How do astronomers measure the distance to stars and galaxies?,2
What is the role of telescopes in space exploration?,2
Explain how rockets work using Newtonâ€™s third law of motion.,1
What are the major components of a space shuttle?,2
How does gravity affect objects in space?,2
What is a wormhole and is time travel possible?,2
Can you explain the life cycle of a star?,2
What are the effects of climate change on the oceans?,2
How do ocean currents influence global weather patterns?,2
What is the difference between a tsunami and a hurricane?,0
